tf,importance_mean,rank
IRF1,0.0004292819268205979,238
NFATC3,0.00042688804528552283,239
TBX10,0.00042661291871202897,240
TBX2,0.0004263382210789738,241
RLF,0.0004232345309219454,242
TP63,0.00042230432341151906,243
TBPL2,0.00042149987163308346,244
SETBP1,0.0004206663683291367,245
ASCL2,0.0004198631421142333,246
VEZF1,0.00041848515796421757,247
HAND2,0.00041706845538271866,248
SRSF2,0.0004169325031019374,249
MBD1,0.0004159390214833062,250
ZNF410,0.0004156422138836528,251
MNT,0.00041487817582227154,252
SP3,0.0004145975133648487,253
TCF7,0.0004138507610908467,254
LMO2,0.00041332800771366843,255
NKX6-3,0.0004113369860381984,256
BRD4,0.00041026444012762415,257
POU2F3,0.0004071124276985453,258
EN1,0.0004064699985140881,259
STAT5B,0.00040594031723533894,260
RARG,0.0004052669679822429,261
CHD4,0.00040386498440057037,262
SRY,0.0004016346628153163,263
MED1,0.0004006055481719765,264
NR1I2,0.0003986456169390825,265
LYL1,0.0003975668766997842,266
AIRE,0.0003967412126333632,267
ZBTB7A,0.0003964864910509884,268
FOXN1,0.00039637341966833144,269
SOX11,0.0003935272517082922,270
NCOR1,0.00039347760487847455,271
SMAD3,0.0003913932009709242,272
PATZ1,0.0003913189725722077,273
TAL1,0.00038997120345053796,274
HMGA2,0.0003895831787720757,275
BARX2,0.0003888546295153598,276
FEV,0.0003866741578046155,277
SREBF2,0.0003850249266482327,278
TBPL1,0.000384742056299577,279
USF1,0.00038356715714845296,280
DLX5,0.0003825335083850708,281
FOXL2,0.00038228966755771886,282
E4F1,0.0003806365598810165,283
ZNF300,0.0003806020568996852,284
TFE3,0.00038011892561371494,285
HDGF,0.0003798762512995305,286
PML,0.0003790716860445779,287
CEBPZ,0.0003779923829578517,288
KAT5,0.0003772777807455441,289
PAWR,0.0003762671290957087,290
ARID1B,0.0003759821848206002,291
ETS2,0.00037410553938741484,292
HLX,0.00037312255808690984,293
NR2E1,0.00037257151242139723,294
DDIT3,0.0003718793888651817,295
TBX1,0.0003713749732469296,296
NPAS2,0.00036964230309119255,297
FLI1,0.00036893535061241305,298
NR4A2,0.0003665452068768597,299
HOXC6,0.00036646308111206355,300
NFE2L1,0.0003663366620761129,301
NCOR2,0.000363634058567186,302
SMAD4,0.0003622382021167899,303
IRX4,0.00035793274854919825,304
MBD2,0.00035783740169839835,305
PURA,0.0003559676440393863,306
RXRG,0.0003534412537447906,307
HEY1,0.0003517075099049786,308
HOXA1,0.0003501211805181962,309
BACH1,0.0003498080547539454,310
MAFK,0.0003488222069042498,311
MSX1,0.00034705330629852447,312
ATF2,0.0003464422494024196,313
HSF1,0.00034449745298867167,314
HOXD4,0.00034229730035804094,315
TRIM28,0.0003401309497803595,316
HAND1,0.00033951569816466077,317
MNX1,0.0003387866496031696,318
STAT3,0.0003381336710904126,319
HOXB6,0.0003369498117308467,320
NANOG,0.00033559726084604337,321
TOX3,0.00033469801370908196,322
POU2AF1,0.0003336982813228436,323
TCF12,0.00033360174155253237,324
THAP11,0.00033329254874843174,325
FIGLA,0.0003307165350785605,326
SHOX2,0.00032915289452830623,327
CEBPE,0.0003278700790701805,328
VDR,0.00032697820746108164,329
BCL11B,0.00032543015569596413,330
NKX2-2,0.00032449454728862294,331
ATF5,0.0003244274503079699,332
PBX1,0.00032427734912445774,333
HDAC5,0.0003232467059888222,334
KDM5D,0.0003217885329756124,335
HOXA5,0.00032020250539120573,336
TFDP3,0.0003197435291137178,337
ELK1,0.00031855645161537417,338
KAT6B,0.00031767659922176484,339
MYOD1,0.00031609793282617226,340
OTX2,0.0003140204508061591,341
SOX6,0.0003137699244102047,342
FOXE1,0.0003113783238669991,343
ELF5,0.00031072204945985503,344
EMX2,0.0003105904239987467,345
ZMYND8,0.0003089705377012327,346
POU5F1,0.0003075911916350075,347
TCF21,0.0003071747877773608,348
CUX1,0.00030697756067183947,349
ETV2,0.00030611370164782177,350
HOXD1,0.0003048718042236942,351
MTA1,0.00030451786416657947,352
HOXA2,0.0003027882153560313,353
