# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 20 = 720 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
ELK4,0.0004345205730487578,0.00040988775053659327,1.1671913262034651e-05,0.00157925981329754,255
HOXC6,0.0004331303222670613,0.00033339865163714794,4.182652728559333e-05,0.0012809953885152931,256
MEIS2,0.0004319662276808837,0.0003199238416503384,2.5719866243889555e-05,0.0010425814863992855,257
EP300,0.0004313052556843407,0.00029197999416675873,1.9643616587927686e-05,0.0008253929627244361,258
NFIB,0.00043025472418776187,0.0004356238207150922,5.431794052128681e-05,0.0017340410267934203,259
RUNX3,0.0004289619025181916,0.0003658816335320671,1.830115666052734e-05,0.0011056994961109012,260
TFE3,0.00042720766862961075,0.00021237281189071097,0.00015843040455365553,0.0009485797389061185,261
FOXN1,0.0004245391690195296,0.00028789547674042956,0.00010625532668200322,0.0010989687783876435,262
HDAC3,0.0004225479494380124,0.0002078202532699677,0.00011205499631614659,0.0008408150941249914,263
MECP2,0.0004206167962252039,0.00036231537885239725,3.7756018286927427e-06,0.0013398142997175452,264
DOT1L,0.00041970913934505914,0.0002283824421110317,7.047005897220515e-06,0.0008276802836917341,265
SOX7,0.00041618805037918114,0.000306419694905904,2.800010479404591e-05,0.0010988437919877466,266
ELF4,0.00041320026722739084,0.0003393423232797961,6.344548874039901e-05,0.001374317143927328,267
YBX3,0.00041130339298736847,0.0002392197676654786,8.541906281607225e-05,0.0008692718634847552,268
CEBPZ,0.0004086386814985114,0.00018445511104344937,0.00017025392371579074,0.0007993500345037312,269
POU2F1,0.00040858437335486995,0.0003707745621775148,8.263581844403233e-06,0.001266878333990462,270
STAT6,0.00040763163185602024,0.0003039128199367827,3.5408767053013436e-05,0.0010333193029509857,271
MLX,0.0004075946108059725,0.00030230566797031627,1.5268861443473724e-05,0.001084765346604399,272
SHOX2,0.0004074527272071767,0.0002384589201887478,4.309195719542913e-05,0.000736699036497157,273
TP73,0.00040646492473115357,0.00036673458600416703,3.943780029658228e-05,0.0012371788034215565,274
MESP2,0.000405744679816659,0.0003032219746499559,3.1418567505170356e-05,0.0010611520090606059,275
HOXB1,0.00040355268226145805,0.0002599245647720189,3.387158240002464e-05,0.0010542780510149896,276
TBX1,0.00040347839463758344,0.00034527454384659505,6.1685862647209435e-06,0.0012441282451618458,277
TEAD2,0.0004033246182946944,0.0002872735595085371,2.7773491774496508e-05,0.0010814658890012639,278
SMARCB1,0.0004032375931387833,0.000295865804819509,7.065827628593979e-06,0.0010118083708221088,279
PPARG,0.0004031106292131881,0.00027399929959378785,0.00012147551478847164,0.0009724083211040123,280
LEF1,0.0004024747338301419,0.00025488861668808665,6.627995753660798e-05,0.0010493909445358435,281
ATF1,0.00040114475917221173,0.0002876729680786803,4.365478531553891e-06,0.001013527045142837,282
NFYA,0.00040106991257147227,0.0003646031866327591,1.2443415153029492e-05,0.0015135769383050502,283
KLF6,0.0004001231275083228,0.00023697042328399117,8.984858359326609e-05,0.001108827767893672,284
IRF5,0.00039982859591844997,0.00025942773647752014,2.168471127106386e-06,0.0008644041852676307,285
GATA6,0.0003996748717971362,0.00030304251806371503,1.1125229411845794e-05,0.0010240393399726599,286
E2F4,0.0003992682646758302,0.0002721816917253274,1.1573535857678508e-06,0.0009350056061521173,287
KCNIP3,0.0003984828420243502,0.00027217357454243084,2.9243149492685915e-05,0.0008547007601009682,288
ATOH1,0.0003982460619302704,0.0002461704157142415,3.5896445206162765e-05,0.0008024860173463821,289
NFE2L2,0.000398050006598775,0.00035630729023119524,4.596617445713491e-05,0.0013785443734377623,290
GTF2IRD1,0.0003970880465343403,0.00020278172554933526,2.0142981907156364e-05,0.0007433387581841084,291
ZBTB18,0.00039662183100214556,0.00036997046859731385,3.496503268252127e-05,0.0011601082514971495,292
PAWR,0.0003958781321784954,0.00031311150050821206,9.388560533807322e-06,0.0012126284331316127,293
MTF2,0.0003915809823032153,0.00026341297271131333,3.342055711073045e-05,0.0011149493599077684,294
HOXA7,0.0003894132537122156,0.0002543510257067109,8.164854625647422e-05,0.0009553582611260933,295
EHF,0.00038903169780534576,0.00019744125020936044,8.073206026892876e-05,0.0006733380840159952,296
POU2F3,0.0003887203424862188,0.0003586312882106854,6.37562710835482e-05,0.0012237728806212544,297
LHX3,0.0003884825217634595,0.00019454018579600309,9.177760657621547e-05,0.0009009118701214902,298
HSF2,0.0003872218957487424,0.0003700539612758917,2.7751785239615855e-06,0.0015205522067844868,299
APEX1,0.0003872050970064341,0.0003754117504614733,5.440848713078594e-06,0.0014237012190278617,300
RARA,0.00038630347085018003,0.0002822135409133733,8.438078184553889e-05,0.0009524673921987414,301
PAX8,0.0003857180887943438,0.00028613119648341435,5.383074494602624e-06,0.001130406279116869,302
RXRB,0.00038487037195409355,0.0002840228935403291,4.559555236482993e-05,0.0010606408526655285,303
PRRX1,0.00038241148232032174,0.0002663789959687419,5.49967825463682e-05,0.0009553513504215515,304
PATZ1,0.0003806173978982012,0.00026878580836442234,1.0817287034114999e-05,0.0009702811759780158,305
JUNB,0.0003783337320783176,0.0003116943192628798,3.28114534568158e-05,0.0012525328318588435,306
RBPJ,0.0003782973647654823,0.0003215280587518983,3.728984811459668e-05,0.001050957420375198,307
MED1,0.000378170086787577,0.00019488879032910538,5.236645893091918e-05,0.0006492448083008638,308
HOPX,0.0003769923387229331,0.00023880711432548314,2.471212260388711e-05,0.0009733985047205351,309
IRF6,0.0003769218289865724,0.0002399224204667187,7.792201704432955e-05,0.0009227210379322059,310
CTBP2,0.00037644715849391257,0.0003313548213897378,4.848782600674894e-06,0.0011559680569916964,311
RORA,0.00037469034517319716,0.00023493429698271287,8.305312076117843e-05,0.00085652850830229,312
ATF4,0.00037451699798983403,0.00031733246698778306,6.285314512410879e-07,0.0012160456972196698,313
ESRRG,0.00037270295762634,0.0002978290176363575,8.558982335671317e-05,0.00117591698653996,314
HDAC4,0.0003699102601103732,0.00030904800610460605,4.058111107951846e-05,0.0010774045949801803,315
MYBL1,0.00036833692902291657,0.0002026636236883588,0.00013606413922389037,0.0008336101047461851,316
NEUROD1,0.0003671232342791579,0.0002660575727930744,2.7609368362391252e-05,0.0008889903037925251,317
CEBPA,0.0003661019599462634,0.0002783728274555956,1.4371795259648934e-05,0.0009955400601029396,318
ASCL1,0.0003640680727282112,0.00015370247186693938,0.00013772731472272426,0.0006462875011493446,319
SRY,0.0003638591471731919,0.00028948807596216767,4.2553454932203754e-06,0.0008947277587139974,320
ONECUT1,0.00036299783446338554,0.0004178858028616465,7.134909390060784e-06,0.0016085835493868214,321
PHF20,0.00036097076785305643,0.0002172497242721312,0.000123770150821656,0.0008361479849554597,322
TP63,0.0003605879231220873,0.00029328083992949936,1.221981142407458e-05,0.001057655326439999,323
NPAS4,0.00036053047764047125,0.00032039601248609845,5.5640437403781105e-05,0.0012384971603751182,324
FOXO1,0.0003600613001819871,0.0002833599417142966,7.136149008601933e-07,0.00099895634339191,325
NOTO,0.00035975470624786493,0.0002040235763765363,0.00012152266572229564,0.0008464914397336542,326
KMT2B,0.0003575486576626948,0.0002474151447031298,1.6357741924366567e-05,0.0008670807306771166,327
FOXJ1,0.0003530361497548521,0.0002773483443650673,1.6572862250541221e-06,0.000835812602599617,328
IRF1,0.0003502778635805726,0.0002383354807134453,2.8870121514046336e-05,0.0008088423084700479,329
CREB3L3,0.0003498238723144217,0.0003850199553333313,5.4363040476346216e-06,0.0014899867528583854,330
YBX1,0.0003491065049180027,0.00020081684444810482,7.000391781275539e-06,0.0007512471725931388,331
FOXL2,0.00034862343722276515,0.0003585094300577896,3.506762986944523e-05,0.001599425630411133,332
EZH2,0.0003478837428550226,0.0003995972474130655,3.815481868514325e-05,0.0015762152674142272,333
SALL4,0.0003455465637718665,0.0003983063549928359,1.2809989812012645e-05,0.0016035469016060233,334
TFDP3,0.0003444657019220661,0.000301636937378912,4.585666249568021e-06,0.00110404155566357,335
FLI1,0.00034284810409796287,0.00021676833739839595,2.2921710979062485e-05,0.0007252190553117543,336
HMGA2,0.0003426238945773245,0.0003823253432047734,2.7427892018749844e-05,0.0012340896064415574,337
NR2F2,0.00034205886235601685,0.0003187217471342157,1.984047912628739e-06,0.0008652565738884732,338
NFIL3,0.0003418680320767938,0.0003031444702273222,3.5021222447539917e-05,0.0011027151020243763,339
PPARA,0.00033777571768496274,0.00024289525503226226,2.823190066010284e-05,0.0008761126082390547,340
TBR1,0.00033770814628345154,0.0002826792052679425,3.0251173711803858e-05,0.0009824527369346467,341
IKZF2,0.0003373328507602006,0.00020469306151756542,2.014056867665204e-05,0.0006395652890205383,342
BRCA1,0.0003366263773415312,0.00021165258594465334,1.1163414865222877e-05,0.000699783295567613,343
ETV5,0.0003362434265412162,0.000299424259191613,7.84799545954229e-06,0.0010309841920388852,344
TBX15,0.0003347849550740042,0.00017689639347876203,3.074349133385113e-05,0.0006062719505280257,345
RCOR2,0.0003335841781184475,0.00016285020338329214,9.081093321583467e-05,0.0007019162367214435,346
NKX2-1,0.00033295323318422256,0.00027208381781049305,9.994573770200076e-06,0.0007957573732710442,347
PAX1,0.0003324647319592107,0.00018337393652769396,8.662674499646528e-05,0.0007292737456737079,348
ATF5,0.0003316201182163544,0.0002602987504579134,5.3070584090164634e-05,0.0009658806957304478,349
EGR3,0.00033148352005506844,0.00017870621449262727,9.951932806870902e-05,0.0008354886798770167,350
ETS1,0.000331339484404225,0.0002542313971060468,2.6416319769850816e-05,0.000930225987394806,351
USF1,0.0003309803488690477,0.0002901999973093435,4.37933522334788e-06,0.001115605910308659,352
OVOL1,0.0003305590274218654,0.00029249196683502505,4.601594800988096e-05,0.0008716747077414766,353
NFATC3,0.0003294594675935514,0.00032959824349592265,2.1427320780276206e-05,0.001127918533165939,354
FOXA2,0.00032647888256178705,0.0002538989293141892,2.1363534733609414e-05,0.0008578918728744603,355
TOX,0.00032619365788377763,0.00018487464477689569,4.717275005532429e-05,0.0006029860320268196,356
HOXB13,0.00032539056639961926,0.0002512511927171475,1.4968374262025464e-05,0.0009295184863731265,357
NR1H3,0.00032346645269475024,0.00018175747660590966,2.445456548230141e-05,0.0006656797821051441,358
ZGPAT,0.00032330960351221923,0.0002560879625246108,2.8759820179402598e-05,0.0008143797749653459,359
ZNF395,0.0003226932237074228,0.0002837738168501881,4.76567802252248e-06,0.0009578349636285566,360
TFAP4,0.00031958808120388464,0.00025718978710906223,2.736882343015168e-05,0.0008445086525171062,361
TAL1,0.0003183156374916507,0.0002413610339071214,2.165780279028695e-05,0.0008286841402878052,362
TFDP2,0.00031605377981236416,0.00020733305416608606,5.662559931352007e-06,0.0008086786911007948,363
RREB1,0.00031579765035208613,0.00028147606506075356,3.675545031001093e-06,0.0009131029059062712,364
NFYC,0.0003142036999482419,0.00025064206866261794,6.045978113888851e-06,0.0008285557429189789,365
TEAD4,0.0003131039190369241,0.00016616936948714243,5.4321431798598495e-05,0.0005865072613232768,366
TCF4,0.0003118499237340681,0.00031412059551349397,6.130019046395319e-05,0.001254034336307086,367
BACH1,0.0003114985473909352,0.00021988314541264618,4.148879088461399e-05,0.0006848593795439227,368
SOX11,0.00031062827195758776,0.00018152742655808742,8.23417705760221e-05,0.0006907217903062701,369
SIM2,0.00030866501801748807,0.00021499238593565407,1.1788136794166348e-05,0.0006009894248563796,370
RFX4,0.00030779727486276445,0.0001892465062850732,6.807275758546894e-06,0.0006708646542392671,371
FOXD1,0.0003063302791664076,0.00015434156782813028,7.434805538650835e-05,0.0005671829567290843,372
KAT6A,0.00030463120776857977,0.0002304900389475616,1.0692425416891639e-05,0.000882941292366013,373
TBX3,0.000303088965807774,0.00019075769763292455,1.3756749990534446e-05,0.0006862765294499695,374
ESRRA,0.00030272717523682026,0.0001801836776153602,5.8868015912594274e-05,0.0007077401343849476,375
NHLH1,0.0003016244027094217,0.00016111423020435896,6.013433740008623e-05,0.0005924863391555845,376
HOXC8,0.0003006725457661711,0.0003072950701419392,4.453947281035653e-06,0.0009865488624200224,377
YY1,0.00030048279037278764,0.0002930108720236533,3.976360835622473e-06,0.0010483069316251203,378
DLX4,0.0002993318235894549,0.0001943177436912843,5.327163671609014e-05,0.0006631503740209154,379
CRX,0.0002987558152000247,0.00018385109536099575,1.2184248589619529e-05,0.0006127727072453126,380
HOXB3,0.0002978796165497973,0.00025340516239167406,2.2134620166980313e-06,0.0007568094428279437,381
NKX2-2,0.0002975791669920606,0.000193929917601649,5.718959855585128e-05,0.0006269093137234449,382
FOXO6,0.00029713296443484674,0.00024611688340844123,4.9858734291774455e-05,0.001025526667945087,383
NFE2L1,0.00029680706152248606,0.00018892070359322445,2.364481406402774e-05,0.0006871913661598228,384
TSHZ3,0.0002962947977115012,0.00013469791614809207,0.0001224868159624748,0.0006079268772737123,385
FOXQ1,0.0002942358222223144,0.00027271134097094687,2.1566266332229135e-05,0.0008662387204822149,386
PIAS1,0.0002921402189485889,0.00018702258943312502,3.6649130561272616e-05,0.0006760753822163678,387
ZNF804A,0.0002912431629738421,0.00020683912432618357,5.666911665684893e-05,0.000690657296217978,388
KAT6B,0.0002909564153924293,0.00019423433743248283,5.594870535787777e-05,0.0007535717450082302,389
ETV6,0.0002902836780170522,0.00028580558304690663,4.4724266172124774e-05,0.0012647728144656865,390
SPIB,0.00028984295846991396,0.00015333826333679444,1.7461266651253028e-06,0.0006746687577106059,391
MYRF,0.00028770072972292835,0.0002321818188062076,3.9853304588177704e-05,0.0008331400458700955,392
