tf,HR,pvalue,coef,n
SALL3,1.4098143806219328,4.674891157273334e-05,0.34345805077513625,7397
HDAC5,1.2561948518899102,4.8062090590182025e-05,0.22808719286855356,7397
PLAG1,0.8064656645509702,5.681251127473962e-05,-0.21509395572553933,7397
NFE2,1.1996506810335852,6.021712133740746e-05,0.18203041527769717,7397
THRB,1.2880129227236778,6.309146474571703e-05,0.2531006608023873,7397
RORA,0.7115171651740566,6.430431894844574e-05,-0.34035573641076516,7397
HEYL,1.3592451765425273,6.57692171383224e-05,0.3069295284207324,7397
EGR4,1.3586797453064041,7.169208261909844e-05,0.30651345273024144,7397
ZFPM1,1.342294754778155,7.596165903135457e-05,0.29438065286629705,7397
RORB,1.6353930728375956,7.772394385088963e-05,0.491883186976463,7397
SMAD4,0.8892619060054551,8.021705264486287e-05,-0.11736347942627183,7397
ETS1,0.9158125535035436,8.165298354363398e-05,-0.08794357116195413,7397
CTCF,1.3648971205511107,8.236849905138711e-05,0.3110790562368692,7397
HOXD13,0.7919216698459368,8.406086798776979e-05,-0.23329279376848347,7397
VEZF1,0.6880701202049333,9.829010110330277e-05,-0.37386452733965253,7397
GLIS3,1.333949649113194,9.896720545967623e-05,0.28814420248814016,7397
NR5A2,0.7485727492272731,0.00010939916324563806,-0.2895868864890119,7397
MAX,0.7810127498786966,0.0001110285502870703,-0.24716380420694992,7397
LMO4,0.776692495787074,0.0001210737234192002,-0.2527107652652747,7397
GATA2,0.8591795380372279,0.0001372020513880134,-0.15177737064470173,7397
NFATC4,0.810828321027867,0.00014234132044718377,-0.2096989352808887,7397
TP53,0.8998889435797088,0.0001452497137857182,-0.10548391929428765,7397
ZFP64,1.3498059514779748,0.00014952537944886582,0.2999608424728605,7397
NFIC,0.8204410533963948,0.00015157838185157605,-0.19791321332845244,7397
KLF9,0.792078074048233,0.00015582265298554404,-0.23309531368250822,7397
TLX1,1.303862232908594,0.00015607622622902583,0.2653308083131741,7397
CXXC1,0.7802008547848855,0.0001569373902073761,-0.24820388631304505,7397
ZNF91,0.7767855681950478,0.0001623209191356227,-0.25259094071127147,7397
USF1,0.8714829658298553,0.00017181800391600276,-0.13755896001933074,7397
TAL1,0.7522662788297928,0.0001730993021018568,-0.28466492352029504,7397
SOX10,0.8394684786199302,0.0001858068760907672,-0.1749863509718243,7397
SMAD3,0.934417146364509,0.00018810285994139028,-0.06783231694328588,7397
