drug,HR,pvalue,padj,cohort
fluocinolone-acetonide,1.4553468276572101,0.000273661670997091,0.013654773721820366,METABRIC
sulfasalazine,0.5584109097369225,0.0002910314747414375,0.014037418131695335,METABRIC
pf-05212384,0.13314033734298103,0.000345910453466002,0.015597745915894818,METABRIC
azd8931,3.46312571501529,0.0003494483874746356,0.015597745915894818,METABRIC
tazemetostat,2.0449033223151885,0.00035571915357603936,0.015597745915894818,METABRIC
norfloxacin,0.4279650703416217,0.00041753218258494453,0.01734521662879938,METABRIC
thiostrepton,0.27198615000866594,0.0004195456682847121,0.01734521662879938,METABRIC
ikk-2-inhibitor-v,0.227880482289207,0.0004772764316181772,0.01918386101531951,METABRIC
digoxin,0.09390121143689492,0.0004968391440293255,0.019430438957038755,METABRIC
vemurafenib,0.5072501877014555,0.0005168894677293836,0.01960901665333692,METABRIC
tiludronate,0.46664631954656666,0.0005285083963235245,0.01960901665333692,METABRIC
gsk256066,0.5811126939767082,0.0005622325120412275,0.020338761123091405,METABRIC
pelitinib,3.079288926725234,0.0006498544788805379,0.022416206090194568,METABRIC
bay-87-2243,0.37805920638570795,0.000653726980400464,0.022416206090194568,METABRIC
selinexor,0.19744057305683194,0.0006661346661218842,0.022416206090194568,METABRIC
triamterene,2.3318952228623058,0.0006934174678117464,0.022803978998263565,METABRIC
aee788,1.8561647662594871,0.0007525195599812753,0.024170419148236866,METABRIC
colchicine,0.38331439815037177,0.0007804451956018738,0.024170419148236866,METABRIC
ac-264613,0.4714681144659051,0.0007850792674271822,0.024170419148236866,METABRIC
epirubicin,0.12222290096948978,0.0008632849372600777,0.025270159018115204,METABRIC
telotristat-ethyl,0.5784929256113894,0.000887858285237131,0.025270159018115204,METABRIC
cytochalasin-b,0.36428589050291155,0.0008920432726333815,0.025270159018115204,METABRIC
jte-607,0.3868365499100241,0.0009230491238515507,0.025270159018115204,METABRIC
mifepristone,1.969478836210051,0.000928260185520873,0.025270159018115204,METABRIC
artemisinin,0.4936593374738908,0.000929133301366152,0.025270159018115204,METABRIC
clobetasol-propionate,1.4178004908583648,0.0009447271386784417,0.025270159018115204,METABRIC
alfacalcidol,2.3948616846111594,0.0009739634980838576,0.025270159018115204,METABRIC
vinorelbine,0.31803924490517327,0.000977974364211784,0.025270159018115204,METABRIC
acetylcysteine,2.1562971515494684,0.0010935041521059322,0.027759658036794452,METABRIC
sb-2343,0.11336207870534891,0.001177426200188289,0.029026253031848748,METABRIC
hmn-214,0.23113525541117985,0.0011835168824319807,0.029026253031848748,METABRIC
ixabepilone,0.21490257919539302,0.0012801216132419964,0.030872266239352814,METABRIC
thonzonium,0.12301918785037011,0.0013331905307885107,0.031625027836901236,METABRIC
pha-665752,3.526542088715834,0.0014090703631030215,0.032885884119517296,METABRIC
bardoxolone-methyl,0.25069906835114264,0.0015581466287588929,0.0355403146440026,METABRIC
baicalein,2.001105479997653,0.0015719282219876754,0.0355403146440026,METABRIC
triamcinolone-acetonide,1.4487323917989567,0.0016009282136767767,0.03563912500292763,METABRIC
desonide,1.4368153474094774,0.001647562063432804,0.03612155008768587,METABRIC
chlorindanol,2.2276179485548604,0.001757124230307778,0.03698447785638062,METABRIC
gastrodin,0.5239136114897514,0.0017709063505568533,0.03698447785638062,METABRIC
eprosartan,0.47385125638185915,0.001802084238352971,0.03698447785638062,METABRIC
epothilone-b,0.4233151943384266,0.0018170936586864863,0.03698447785638062,METABRIC
bucladesine,1.8076668965620495,0.0018232589062683977,0.03698447785638062,METABRIC
evp4593,0.33647382721245866,0.0018402780965165201,0.03698447785638062,METABRIC
wz-3146,3.1414606415069444,0.0019278493405444895,0.03821367117490242,METABRIC
riluzole,0.5564698569511795,0.001976375820640399,0.03864615962792779,METABRIC
lidocaine,1.9096048785009254,0.0026933962594448842,0.05157987307880537,METABRIC
sclareol,0.5853915121568486,0.0027091018341321407,0.05157987307880537,METABRIC
idoxuridine,0.5539825041597398,0.0027799191886081526,0.05224081903787009,METABRIC
