drug,HR,pvalue,padj
indirubin,2.2588818152863634,0.007060513888495853,0.039708273868406224
azd8931,1.600918727607883,0.007089256159277107,0.039708273868406224
prednisolone-acetate,0.826828776673405,0.007133340599836539,0.039708273868406224
fluvastatin,0.5853572230441574,0.0071348660717246845,0.039708273868406224
th-302,0.619795218989143,0.00719398963042121,0.03988391952191376
amfenac,1.4571796371760195,0.007355283546652372,0.04062250111452665
lovastatin,0.7500908157275309,0.007391584554933198,0.04066776749425224
bvd-523,1.3617423868733847,0.007432914266838871,0.04074025357619639
estradiol,1.358355554327763,0.007524388376380263,0.04094941760353017
methylprednisolone,0.8536700718350726,0.007551396402566673,0.04094941760353017
azathioprine,0.774914032242116,0.007555974084410888,0.04094941760353017
broxaldine,0.7212768252072093,0.0076281822497778345,0.04118649147547958
epothilone-d,0.6247287165937992,0.007754831716042563,0.041648614188324544
marimastat,0.5527226319471016,0.0077713378236680215,0.041648614188324544
semaxanib,1.5697186235586886,0.007843331217425975,0.041879336795628726
disulfiram,0.45227659674888904,0.00795976736481302,0.04234479182678103
mevastatin,0.6785153228975775,0.008038371429277338,0.0426063130335689
apatinib,0.7253908508148821,0.008081399770245296,0.04267804915162388
nanchangmycin,0.5992232904341679,0.00817059851783939,0.04284226527815377
gsk256066,0.7931974832049342,0.00820070012624671,0.04284226527815377
nadifloxacin,0.807865905805942,0.008224368040848714,0.04284226527815377
sb-743921,0.636902463846081,0.008250820120422659,0.04284226527815377
4-chlorophenylguanidine,1.3712762150156184,0.008260533526333725,0.04284226527815377
nan-190,1.3462451680642091,0.008326886266617073,0.042975014445198946
gsk461364,0.7691273422009338,0.008345528029786388,0.042975014445198946
melphalan,0.75583644866411,0.008400174275890909,0.0431030219050147
xl888,0.5017303377509642,0.008448552904779931,0.04319807792656028
diphemanil,0.7443659511321484,0.008558594004981181,0.04360663917326679
7-hydroxystaurosporine,1.9481765806738316,0.008627883407027562,0.043805429087610114
methotrexate,0.6374214223208625,0.008685578982784535,0.043944170587724554
dolutegravir,1.7630174867468815,0.009047381844951453,0.04549753699291488
dehydrocholate-acid,0.8039867689159634,0.009092771220522473,0.04549753699291488
nvp-bez235,0.679818586224183,0.009094138691644205,0.04549753699291488
8-bromo-cgmp,1.5678681531125893,0.009118372997888953,0.04549753699291488
at-7519,0.6176427129666756,0.009151763832884047,0.04550722428241655
sb-505124,0.6915966916929934,0.009439624294177919,0.04677786422491592
cep-33779,1.4529316966954655,0.009504601058300888,0.04693910488519244
cyc116,0.8110954331624196,0.009659786077267163,0.04741967264284673
indoprofen,0.7836067226856148,0.009667452266509873,0.04741967264284673
3'-fluorobenzylspiperone,1.3928664370937907,0.009723932556808024,0.04746468283702411
clofibrate,0.7469637718815213,0.009742232759223332,0.04746468283702411
xanomeline,0.7498317313478502,0.009810466485493332,0.04763672820304984
metaraminol,3.0303289198523657,0.01004335003604432,0.04858118964079444
indiplon,0.6697986841377189,0.010077128212004592,0.04858118964079444
propranolol,0.815863908244425,0.010105693214843902,0.04858118964079444
kf-38789,0.46447689949698995,0.010245317253698353,0.04899868836884096
raltitrexed,0.6644842162110974,0.01027311691451507,0.04899868836884096
cetrimonium,0.5527668145773711,0.010294126651090292,0.04899868836884096
etoposide,0.7407398104013075,0.010499270205486081,0.049769033468812986
azodicarbonamide,0.7206684436800858,0.010524757596030943,0.049769033468812986
eprobemide,0.8251178584422604,0.010702866187101293,0.05044640838024616
ganetespib,0.6720338094019078,0.01089551047098571,0.05118767419323481
metronidazole,1.2885585025659787,0.010955794916455314,0.051304321178352236
ppt,0.7490278620929914,0.01108132236380221,0.05172475309813483
lorlatinib,1.484700409026936,0.01119115936071652,0.05206947779728876
8-hydroxy-pipat,0.7150252239369641,0.01124656788960071,0.052159563257218676
oridonin,0.5953464154233747,0.011416917482506277,0.05261741444919703
fenretinide,0.58789000531266,0.011418015298581802,0.05261741444919703
linsitinib,1.8175063567529435,0.011569423504399823,0.05314589146306839
paclitaxel,0.7281625566130008,0.011606192217660433,0.053146076389096984
halobetasol-propionate,0.8665348707079054,0.011652453341162002,0.053189589856976076
gsk2656157,1.3757899905529858,0.012018664064942397,0.054654890163532005
voxtalisib,0.8102332341195323,0.012049004811449006,0.054654890163532005
cyclophosphamide,0.7172657176603527,0.012302193898226505,0.055628983033542974
ci-844,1.3730029665319199,0.012717763290618704,0.05720661083839389
ly364947,1.2347386600693038,0.012766612758561936,0.05720661083839389
mk-1775,0.6055006090489461,0.012769685764202643,0.05720661083839389
pp-121,0.4682554908421021,0.01287245176024576,0.0574890052378877
tiotidine,0.8211401263812081,0.013063882271852307,0.057993431296341595
poziotinib,1.2987056021322299,0.013065555357710684,0.057993431296341595
sb-228357,0.7821903633327473,0.01313608609881223,0.058060393030701644
sb-2343,0.46611208574880914,0.013160890749184617,0.058060393030701644
