drug,n_samples,pearson_r,spearman_r,rmse
diclazuril,91,-0.11444208,-0.1768434464086638,0.09647216
dicycloverine,83,0.016416999,0.00573023802527182,0.17946427
dienogest,87,0.06640403,0.008237952905154187,0.19809616
difluprednate,90,0.3160632,0.2718277976704943,0.2402556
digitoxigenin,95,0.22337686,0.15713885778275477,0.07417678
digitoxin,62,0.1663498,0.11047316864344893,0.14785117
digoxigenin,90,0.060637802,0.08484175001028933,0.10780804
digoxin,91,0.18964602,0.19095397356266924,0.067401
dihydroartemisinin,85,0.1819793,0.1513973031072894,0.27831927
dihydroergocristine,78,0.15849751,0.1575007271209803,0.1737915
dihydromyricetin,89,0.041849595,-0.05478379298604019,0.2390959
dimethisoquin,71,-0.022528166,0.039537223340040235,0.27893192
dinaciclib,91,0.13734771,0.12385730211817168,0.118390605
dioscin,88,0.098761745,0.07741890035574656,0.14418985
diphemanil,82,-0.07825935,-0.06590045820136917,0.17470275
diphenyleneiodonium,90,0.080404624,0.06744042474379552,0.10942245
