tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
GLIS3,616,0.00011659528295791516,92,0.0012323476679960027,672,8.531628652414811e-05,460.0,False
EGR3,340,0.0003334751185541267,316,0.0005338801454468701,725,5.8955996062574435e-05,460.3333333333333,False
HNF4A,476,0.00020708342162317257,322,0.0005249099786769049,585,0.0001273415500445584,461.0,False
KLF9,737,4.965669862661509e-05,432,0.00036165858642617064,215,0.0004617662852428056,461.3333333333333,False
TFAP2A,639,0.00010371650142987522,578,0.00018643067656226418,172,0.00056306847424518,463.0,False
PBX1,712,6.319049327239348e-05,325,0.0005209801742735594,356,0.00029700185536906895,464.3333333333333,False
HBP1,559,0.00014966153469920369,598,0.00017105053232378188,236,0.00042526178119508336,464.3333333333333,False
EMX2,653,9.84288420554411e-05,410,0.0003958795667020957,332,0.00031984573778379746,465.0,False
PBRM1,713,6.276648959680279e-05,132,0.0010743648106819653,550,0.00014691092439816754,465.0,False
NFATC2,63,0.0010275577857982805,691,8.42266156475737e-05,642,9.909695168458353e-05,465.3333333333333,False
ATOH1,280,0.0003982256379885891,435,0.00035467875615281764,682,7.90228313490209e-05,465.6666666666667,False
ETV5,271,0.00040698661308796903,664,0.00010790177708486226,467,0.0002025853368012797,467.3333333333333,False
FOXJ1,349,0.0003186938196110435,334,0.0005098928192747928,720,6.161050932233665e-05,467.6666666666667,False
EZH2,337,0.00033428638237113995,300,0.0005628195890356878,767,3.4631507244734884e-05,468.0,False
SMAD2,472,0.0002106353160039968,355,0.0004656237632650917,578,0.00013040036268563426,468.3333333333333,False
NPM1,638,0.00010449559161946291,521,0.00025862810587561785,248,0.00040912219378008035,469.0,False
PURA,679,8.275369585912055e-05,425,0.0003734624838905416,306,0.00034993260768797796,470.0,False
IKZF2,336,0.0003344006272941029,572,0.000193524610286507,504,0.00017521977757482864,470.6666666666667,False
FOXO4,678,8.298560116447685e-05,232,0.0007362824353825117,505,0.00017508946297256801,471.6666666666667,False
SMAD7,168,0.0006265330762629721,608,0.00016507991558407383,639,0.00010099006747934985,471.6666666666667,False
NHLH1,339,0.0003336047699177112,546,0.00022337973640870504,530,0.00016159524907758774,471.6666666666667,False
NAB2,202,0.0005323820305420668,735,4.783314535755477e-05,479,0.00019470368799857874,472.0,False
TBX21,432,0.0002411147380839931,274,0.0006227939742199272,711,6.50611416714045e-05,472.3333333333333,False
ATF6,538,0.00016383630425438739,145,0.001036108541305139,737,5.1911054783974095e-05,473.3333333333333,False
ZNF382,464,0.0002180146204795385,262,0.0006550049205763956,694,7.457297008571548e-05,473.3333333333333,False
MYBL1,307,0.0003642286742846905,399,0.0004059933935147428,715,6.404393011972719e-05,473.6666666666667,False
HEY2,544,0.00016092318930194585,389,0.0004129608595245703,491,0.00018850172180216097,474.6666666666667,False
CREB3L3,330,0.0003426637699290454,504,0.00027657108647403993,595,0.00012304245900174988,476.3333333333333,False
FOXA1,740,4.891631703553573e-05,465,0.00032668637457831983,224,0.0004446063928546871,476.3333333333333,False
NKX2-1,377,0.0002990765161367755,343,0.0004962161763573517,710,6.562876575016132e-05,476.6666666666667,False
ZIC1,558,0.00014995039455725694,445,0.0003447806765658849,428,0.00022928743191235327,477.0,False
BMAL1,408,0.0002665524690424319,297,0.0005701410793962526,728,5.788633805364594e-05,477.6666666666667,False
INSM1,613,0.00012000664946409609,383,0.00042208239328415817,438,0.00022285002143868923,478.0,False
